project,bug_id,score_FlexFL,success_FlexFL,score_BRaIn,success_BRaIn,score_boostnsift,success_boostnsift,score_buglocator,success_buglocator,score_locus,success_locus,score_any,y_any
Lang,13,2.2175595674116813,1,3.3153485231176143,1,2.870399282933282,1,3.2278353376325195,1,2.2912256693286426,1,3.2549732097089783,1
Math,67,2.307155132492078,1,3.5254971146715515,1,2.4829376165166632,1,2.857982855132391,1,2.066620797271541,1,2.7587668186047485,1
Closure,14,-5.06127333627126,1,-7.1361659939614155,0,-5.619029777663376,0,-7.215093372594645,1,-6.182751412681794,0,-7.174292315297114,1
Closure,147,-4.9182644288223045,1,-6.531989754261132,0,-4.848601385577824,0,-6.721485006122298,0,-5.72236469164004,0,-6.355766805693251,1
Cli,12,2.7324062394277027,0,3.1601675292947236,1,4.470207442400451,1,3.5497202018399054,0,3.0826831944115365,0,3.08065430533543,1
Closure,153,-4.674670965208037,0,-6.685674388148299,0,-5.657688156656161,0,-7.239235917976858,0,-6.176014247276966,0,-6.707690574626673,0
Csv,8,1.8951670846329207,1,2.3092812234194984,1,2.8259098585045033,1,2.130520291577631,1,2.096428835971394,1,2.793369306303446,1
Math,98,2.663892530572143,1,3.844728898428224,1,3.14415869784512,1,3.1965839773085496,1,2.37987565202313,1,3.5292221209224053,1
Jsoup,17,1.7627052580931668,0,1.737348000332204,1,2.2344491259341384,0,2.4584872014378742,0,2.1440120716972535,0,2.2771727876183716,1
Codec,15,2.3954060626392963,1,3.300490073469356,1,3.0515684338853584,1,3.2290382104891115,1,2.44972555573021,1,3.126273337450475,1
Cli,4,2.3405741839379655,1,2.86819010950344,1,4.3458516411189745,1,3.4106077362846645,1,3.4863581941314363,0,3.0150740351536194,1
Mockito,16,-3.9858208973667715,1,-5.559573460248379,1,-3.500753847800487,0,-4.693995617751302,0,-3.4118710876147795,0,-4.742409473997618,1
JxPath,15,2.1880410057473996,1,3.132998713954775,0,2.914871899735181,0,2.7902531889924393,0,2.3359282173612685,1,3.12743323915715,1
JxPath,17,2.253627108281724,1,3.2477963340302054,1,2.5493371655281325,1,2.486002325630611,1,2.1159232827443555,1,3.127445637873025,1
Mockito,28,-3.9932790493960395,0,-5.526993457149893,0,-3.426339499354291,0,-4.822630200248528,0,-3.4118710876147795,0,-4.742409473997618,0
Mockito,14,-3.9932790493960395,0,-5.526993457149893,0,-3.518734657481703,0,-4.822630200248528,0,-3.2573957110610876,0,-5.499120918347022,0
Jsoup,29,1.347082031328157,1,1.4589163058999428,1,2.0155132384292593,0,2.2205766730483916,0,1.989489136415155,0,1.580870401393266,1
Codec,17,2.4812564894540783,1,3.2236861587794645,1,3.030011760659682,1,3.4339283911048426,1,2.2498983455852186,1,2.8148788987280797,1
Jsoup,15,1.4228845313896998,0,1.5888947512564222,0,2.076437063281215,0,2.5354751434427953,0,1.9883712079547284,0,1.8348406627059535,0
Cli,10,2.2223268802165896,1,3.6339484032525617,1,2.641014423221957,1,3.009611056985535,0,2.497045916665074,1,2.5841823973414173,1
Closure,145,-5.01000038176118,1,-6.433586153941172,0,-5.087563589734301,0,-6.727149907523026,0,-5.811584117617324,0,-5.63601182021471,1
Closure,16,-4.950517511210513,1,-6.864000201598303,0,-4.837868345782607,0,-6.691481624120056,0,-5.526767159076609,0,-6.1829786568100245,1
Math,59,3.1967688728840224,1,4.579893036744532,0,2.7278551863132416,0,3.1984117927168536,0,2.7592619532627194,0,4.40971192313264,1
Closure,151,-4.03594260354009,1,-5.754459239457302,0,-3.552353124887101,0,-5.013565699286668,0,-4.425466066488365,0,-4.103750918632823,1
Lang,39,2.710140535712523,1,3.8416683835936807,1,3.254963291868268,1,3.349151760197091,1,2.306345134642835,0,3.391491662059365,1
Lang,11,2.9719784912084033,1,3.3335748276672734,1,3.1635866129239836,1,2.7454066996840525,1,2.255461028561216,1,2.980655635364441,1
Math,71,2.8266831007237423,1,3.260050697416919,0,3.2032154270103637,1,3.591063388095431,0,2.5634830053293776,0,3.763908412408312,1
Math,65,2.381015399686718,1,3.722802682302022,1,2.85598384432393,1,2.9030137924369384,1,2.171396917524042,1,3.0885587324048207,1
Cli,38,1.20316927305452,1,1.1411298889004964,0,2.3733822796327733,0,1.155591053795391,1,1.4721523208154963,0,1.7506524187907306,1
Closure,9,-5.22400211532496,1,-7.037818156762184,0,-5.253471665750184,0,-7.120089221480908,0,-6.027141656203755,0,-5.906601505143798,1
JacksonCore,24,1.2511744374855134,1,1.963218058188078,1,1.7674166421718096,1,2.751518977269398,1,1.9782820603655769,0,1.6175289062905045,1
JacksonDatabind,96,0.059179358158757134,0,0.04989243527228086,0,0.21210721939688776,1,0.421916037408047,0,1.0460509158899454,0,0.17432053220367522,1
JacksonDatabind,82,0.536408625627804,1,0.9548097934543591,0,0.9212031213541705,1,1.3923726838131325,0,1.2376426289850397,0,0.6441721724021949,1
JacksonCore,18,0.5781442338598499,1,1.2441254477245391,1,-0.0014272789014070086,0,1.7815744957150694,1,1.0567322552379395,1,0.9653530554791949,1
Time,26,0.6142899605995602,0,1.3340464622284778,0,0.36104383565194614,0,1.2810085419409991,0,1.320627335493163,0,1.1129232673857656,0
JacksonDatabind,55,0.769677436106017,1,0.6319896415306688,0,1.4201219720777458,0,1.348169397890804,0,1.4183784906366452,0,0.9693706968170313,1
JacksonDatabind,41,0.9646462865548341,1,1.0460106266866416,1,1.22433873421925,0,1.5907132149625163,1,1.5086010175939513,1,1.1611643131082483,1
JacksonDatabind,8,-0.2382007932970268,1,-0.6334174786849094,0,0.4531659532227955,0,0.33713563003368596,0,0.6314348026641285,0,0.19280629951513134,1
JacksonDatabind,69,-0.10639178215820072,0,1.6206607793155392,0,-0.8127066733537879,0,0.839691768692476,0,0.9193317601326986,0,-0.34892167406927643,0
JacksonDatabind,68,-0.527782267540631,1,0.8882460489965959,0,-1.430285678497232,0,0.18063468520617887,1,0.07149492325872032,1,-0.527981593594753,1
JacksonDatabind,9,0.972977484488321,0,1.5189376536307821,0,1.0606596053702804,0,2.114438394339931,0,1.8058342654558386,0,1.0638259718603835,0
JacksonDatabind,40,0.7347714238999108,0,0.5849535967574407,0,0.7236155711769392,0,1.1072893131321906,1,0.9368279374551987,0,0.6400299260827328,1
JacksonDatabind,54,0.8213115878215143,0,0.795895521322948,0,1.0472105448884166,1,1.6136882727334316,1,1.3089523234985545,1,0.8969083902529458,1
Time,27,-0.24966302328089465,1,-0.041636959690882075,0,-1.4564013769139323,1,-1.1102267802200567,1,-0.23111335378518846,0,0.08157320029956552,1
JacksonCore,19,0.37246070658431796,1,1.44348740624475,1,0.1806258865288325,0,1.3080564119155462,1,0.771271408585149,1,0.9600682391513448,1
JacksonDatabind,83,0.9159717718485061,1,2.024000048821387,0,0.6928063418149246,0,2.3617298771112587,0,1.4789345759965649,1,1.0722945493624556,1
JacksonDatabind,97,1.1006582074267366,0,1.9573484962129135,0,1.5965374669035968,0,2.5428143227373012,0,2.029992580640856,0,1.5276529621114856,0
JacksonCore,25,2.1734329594775996,1,3.557716204021423,1,3.5246556382073546,0,3.5641360891061766,1,2.753177213276963,0,2.891880990873434,1
Math,64,1.40029537210165,1,1.6473567132360534,1,2.0310967755156293,1,1.7295663365449074,1,1.7108563119578357,1,1.8276509984126923,1
Closure,8,-2.922318781857262,0,-5.066972969656909,0,-2.5833879702196914,0,-4.0831882087841205,0,-3.7705764005990137,1,-3.876294827715294,1
Cli,39,2.2551477354693894,1,3.3285495126007008,0,2.850897027510744,1,2.870573120319829,1,2.434999854354684,1,2.8016253548937375,1
Lang,10,2.126078068100866,1,2.61974442776805,1,2.6812585886714264,1,2.5336509115890715,1,2.286165918183874,1,2.427790469176085,1
Math,70,2.130667059692462,1,3.0118901883245903,1,2.4400245256498554,1,2.8473689286880832,1,2.113027126917888,0,2.8692818474837267,1
Math,58,1.6935682136412968,1,2.8819296627727478,1,1.5730366641732472,1,2.157998508036059,1,1.7546118967830795,1,1.9159477886393237,1
Lang,38,1.8679599412588062,1,2.3893598436291574,0,2.8205701238902785,1,2.916202637029412,1,2.7274745734346184,0,2.630553290790906,1
Closure,150,-4.685768487618175,0,-6.601033355101907,1,-4.383234794064762,0,-5.790234799543707,0,-5.342809519249847,0,-5.299251213521944,1
Closure,144,-8.38048581288428,1,-10.603267355367816,0,-11.954683197729867,0,-12.921170124789718,0,-10.665836133225968,0,-9.157317983591705,1
Cli,11,2.3762191904058794,0,3.0201977098496204,1,4.321434492831229,1,3.7944835163899695,1,3.75807358798285,1,3.598230896199496,1
Closure,17,-5.130552545732233,0,-6.946864015220625,1,-4.704535139885875,0,-6.620823945612133,1,-5.6414670088037795,0,-6.597248271764392,1
Jsoup,14,1.4914379511680953,0,1.8468920933651725,0,2.2704074098679032,0,2.797928183891945,0,2.2904166405354003,0,1.932121071470896,0
Codec,16,3.1854146832005488,0,3.5851366011362753,1,2.6582242455888987,1,3.157414991805672,1,2.564833352535912,1,3.2133300905484576,1
Jsoup,28,1.1828652817536485,1,1.8407443198705706,1,0.6819226477003064,0,2.3340751116853413,0,1.6957800934148062,0,1.7681684354545288,1
Cli,7,1.8538974340347099,0,2.6684157820792898,0,1.6995994496904723,0,1.9236401757212276,0,1.2048385143378741,0,2.5345189233811083,0
Mockito,15,-3.375672090775859,0,-5.1884405313384505,0,-3.1196490159563033,0,-4.613865782509156,0,-3.362965657704813,0,-4.742409473997618,0
JxPath,16,2.6240118861703925,1,3.0381595700353206,1,2.9854748204151758,1,2.7552949958727884,1,1.8543854532724682,1,2.9101165431878195,1
Mockito,29,-4.8801577692626275,0,-6.536418413853355,0,-4.301655235390679,0,-6.254701587851077,0,-4.486582905984896,0,-5.9932941264240265,0
Mockito,11,2.682951968930051,1,4.67836670590221,1,4.700598193243438,0,3.0754525020063386,0,4.457681738054908,0,2.03763141368381,1
JxPath,12,1.6141522945971585,1,2.2281638220364925,1,2.1878064388962923,1,2.1413927957268997,1,1.9322300661627698,1,2.283213393844103,1
Cli,3,2.6591899647507984,0,3.1223831356481777,0,4.3458516411189745,0,3.745993237680137,0,2.9447432499542168,0,3.4466780267837644,0
Jsoup,10,0.21508807543573505,1,0.29464781362774484,1,-0.2991613078502089,1,0.6343375602741775,1,0.7681463964814479,1,0.1768953544099316,1
Jsoup,38,1.8882226034701317,0,1.7525304895088119,1,1.5774927503361968,0,2.7727644064385863,0,2.4257226816380975,1,1.9521562794158591,1
Codec,12,2.3676191397891535,0,3.8007732591040657,1,2.433675173367535,1,3.038785478432933,1,2.893178084780009,1,3.018094898378055,1
Math,74,2.791871093727556,1,4.09323699500889,0,4.067419497324079,1,3.6912968956964156,1,2.8477642947607826,1,3.7176015745260615,1
Cli,29,3.3475367082177723,1,3.857867768954839,0,3.74151004989755,1,3.9004400732468176,1,2.6247693352578656,1,3.947657444485473,1
Lang,14,2.9261049508145387,1,3.33541942377401,1,3.35975191980687,1,3.3709201883482933,1,2.537869355897057,1,3.206908902985398,1
Closure,168,-4.704459350992041,0,-6.417469683753145,1,-4.60763197428943,0,-6.045176206591036,1,-5.029662276997527,0,-4.8819860877695875,1
Math,60,1.4499770174966904,1,1.9044159933670868,1,2.326887190255142,1,2.3888375143383316,1,2.195472885549364,1,2.2721694439342692,1
Closure,13,-3.568596572114067,0,-5.621159291399945,0,-3.1441403435288495,0,-4.324390677458551,0,-3.925306010358874,0,-4.856623839321713,0
Math,48,1.8292023651019766,0,2.6609019758775863,0,1.9023356148582953,0,2.846516575142154,0,1.9794292657832127,1,2.1287410886841953,1
Cli,15,2.6231954198886998,0,3.6362468022344636,0,3.8831360302513267,0,3.271894521986749,0,2.6689903909754595,0,3.1132143235857788,0
Lang,28,1.946906644411148,1,2.544738056628346,1,2.457004173425466,0,2.7887254993536614,0,2.0496567675017645,0,3.2196895626964235,1
Closure,140,-7.570231570761179,1,-9.087367997308176,1,-9.813985219046275,1,-11.486554921505636,0,-9.792637054878721,0,-7.827310993375747,1
Closure,154,-5.462955913214036,1,-7.5762868930553084,1,-6.485816716180836,0,-7.847160990864235,0,-6.517940832731034,1,-6.378348479733901,1
Time,23,2.207611813743299,1,2.199347778196942,1,2.7869730232574357,1,1.6514574161532267,1,1.883804782363017,1,2.4281842867270673,1
JacksonCore,21,0.38569728326233277,1,0.4855245986518976,0,0.618167186870338,1,1.1443884627078194,1,0.8235489464746194,1,0.8085626363171866,1
JacksonDatabind,93,-2.3526212036938943,1,-0.27046803569798117,1,-5.0032731591795905,0,-2.5299419331056034,1,-2.1273360970036297,1,-2.5155875461796486,1
JacksonDatabind,87,1.0744845688564055,1,1.5568048386868563,0,1.1177597440938059,1,2.4107678588211328,1,1.989128027968665,1,1.9841999768874934,1
JacksonDatabind,78,0.10796014647382016,0,-0.004610135769869461,0,-0.1702459421064112,0,0.32987708507557073,0,0.44705120026999057,0,0.36087436970178893,0
JacksonDatabind,50,1.0201274863465826,1,1.0206058966232678,0,1.4148944534663732,0,2.1780524533046286,0,1.8055225362995886,0,0.8122232809821106,1
JacksonDatabind,44,-0.8013853365188943,0,-1.588131545493285,0,-0.4371955605146707,0,-0.4156442695036975,0,-0.017833803493422812,0,-1.0727767316429135,0
JacksonDatabind,45,4.948827858679138,1,7.864941081159664,0,4.180659581271118,1,3.0291900278212935,0,3.102702011916285,0,5.5818252990048345,1
JacksonDatabind,51,0.42979125858529,0,0.08274337352545788,1,1.0268622900488773,1,1.1329099785345302,0,1.1848816540363423,0,0.5631194939988015,1
JacksonDatabind,79,1.160674125166209,1,1.3575805034323318,1,1.6951076432727008,1,2.3007909205469907,0,1.879071503567254,1,0.9813078963536731,1
JacksonDatabind,86,0.949663496231844,0,0.9824000394409135,0,1.2221411815431058,0,2.3746929406384334,0,1.5645397089878343,0,1.4739887278524646,0
JacksonDatabind,92,-0.128408436331581,0,-0.48433420068302124,1,0.6057595454066619,0,0.591187527358346,0,1.2764278292322944,0,0.28655531500826226,1
JacksonCore,20,1.0352101537738705,1,1.4242865899293868,1,1.6068161100049643,1,2.3035290510244484,1,1.8133098053339327,1,1.2118303151130951,1
Time,22,2.1981451258137,0,2.4294331614661173,0,2.340259811422663,0,3.2689623977889095,0,3.1332498871124983,0,2.8970730235630446,0
Closure,155,-5.916193513686087,1,-8.056853379744448,0,-7.1722752763879765,0,-8.5407617967532,0,-7.280734756824205,0,-7.458594301225252,1
Math,49,1.299503353939943,1,2.350303065156797,1,0.9376060109752689,1,1.6571255274426422,1,1.1607657956950757,1,1.6270578378638247,1
Closure,12,-4.54707431589268,0,-7.251407419962012,0,-4.881604778812884,0,-6.775020003772035,0,-5.772121990871794,0,-5.839201017134259,0
Closure,141,-4.412575584263791,1,-6.281686462126365,0,-3.8570034057012017,1,-5.57149399955554,0,-4.933570875440115,0,-5.92620529459223,1
Cli,14,1.7905992783058502,0,3.143961967503781,0,1.614155881424094,0,2.6682761286978534,0,1.7718703781274348,0,2.1055008490038385,0
Lang,29,0.8690617871664025,1,1.512699855437469,1,1.0611782410121862,0,1.4106505274165924,1,0.9779522023457153,0,1.2072801785666878,1
Closure,169,-5.40560002596911,1,-7.320586755520563,0,-5.801319577892385,0,-7.499806104348692,0,-6.478569481829997,0,-6.946973890955946,1
Math,61,1.4725441665021017,1,1.6690114746434088,0,1.8770671127056058,1,1.8378769795159586,1,1.6374993220593528,1,2.1050373130068105,1
Math,75,2.21033584869812,1,3.5435423989901875,1,2.835312840023761,1,2.9985714538923394,1,2.24830072700934,1,3.1054873906712546,1
Cli,28,3.0513054286324164,1,3.625576738362611,1,2.9923914079641167,1,2.9570619489221968,1,2.441911968886818,1,3.015972775980231,1
Lang,15,1.7989275942243454,1,3.104112476669972,1,2.180200825910917,1,2.837914375949807,1,2.0241747209555943,1,2.589961747436357,1
Codec,13,2.3543735955398173,1,2.821180401559499,1,2.0056857347053225,0,2.562132616324333,0,2.0354097862211304,0,2.3986461786524464,1
Jsoup,39,0.14118354987402398,1,0.4987753250775204,1,0.2151769790269647,1,0.9534961098149789,0,0.8699467761175083,0,0.3559320261409714,1
Jsoup,11,-1.4114817685318182,1,-1.8981568188637545,1,-1.6692576593555128,1,-1.5845175228923023,1,-0.9752373201234902,1,-1.743148685936289,1
Cli,2,2.2129418412285164,1,3.1348063167005256,1,3.068940759519012,1,3.0125054621062315,0,2.5691936859231657,1,2.649883723148935,1
Mockito,38,-3.9932790493960395,1,-5.1884405313384505,0,-3.4253418840741694,0,-4.7288111700417295,0,-3.362965657704813,0,-5.499120918347022,1
JxPath,13,1.6561107840166327,1,2.4509288843367063,1,2.442785124925383,0,2.2104030742606424,1,2.055020611921473,1,2.3518439703237046,1
Mockito,10,0.9249075391016109,1,1.9469823272222968,1,0.9648705918078336,1,1.8787776387107318,1,1.5579204282962216,0,1.509476918698047,1
Mockito,12,-3.6915962555631947,0,-5.299357041984958,0,-3.1196490159563033,0,-4.693995617751302,0,-3.407646422250474,0,-4.742409473997618,0
JxPath,11,1.6561107840166327,0,2.0870173625867974,0,2.149162487558307,0,2.4318986427097355,0,1.797585893982343,0,2.738094751211893,0
Math,9,2.262739342836296,1,2.616587902353559,1,2.7787441142473366,1,2.7923028990214744,1,2.290598159494065,1,2.8440161833218234,1
Jsoup,13,0.7625100029665198,1,0.6311992955807054,1,1.2398346618821532,1,1.206914147534904,1,1.5102710969979567,0,1.3196925446819256,1
Codec,11,2.582497304689447,1,3.712480054131586,1,3.5166639191924984,1,2.8024638522497063,1,2.4145086431964273,1,3.1232409143051805,1
Math,88,2.4229421145505765,1,2.5811846240469163,0,2.4136168491642076,0,2.9354371944381095,0,2.302369524446487,1,2.5380025432695246,1
Compress,9,2.7641570751394857,1,3.488824856629602,1,2.731725630980585,1,3.79717723105145,1,2.855463942756829,1,3.0242228554840773,1
Closure,38,-4.477852222018857,1,-6.5967374957161065,1,-5.2042462335798625,0,-6.280441141042182,0,-5.8411381601556425,0,-5.412105633180212,1
Math,63,2.47933168384412,1,3.8608443346390087,0,2.825246839592841,1,2.9865439046817923,0,2.574754537096371,1,3.385250946772373,1
Lang,17,1.9546071384353947,0,2.689008695283462,1,2.650673549227869,0,3.207347815068733,0,2.4499291990755108,1,2.843194322688054,1
Math,77,3.2701083774411748,1,4.411904624075849,1,3.523292171406394,0,3.0917247920568998,1,2.8675620318589825,1,3.5493068995826538,1
Closure,157,-5.8037996384500605,0,-7.5486860652966685,0,-7.292650175069778,0,-8.548368492975401,0,-6.94351127065473,0,-8.13832156191394,0
Cli,16,3.2202383360854943,1,3.701028148092133,1,3.9521738330459835,0,3.543366383905252,0,2.7868690068346997,0,3.8895651330117187,1
Closure,143,-8.026209258453608,1,-9.722045282088754,1,-10.519989715112994,0,-11.479192343948503,0,-9.06183731273602,0,-7.9996256443936105,1
Closure,10,-4.567254304505491,1,-6.318976982736831,1,-4.423729996954677,0,-6.340100798459788,0,-5.219924774010498,0,-5.706750813119302,1
Gson,8,0.2691250738916976,1,0.33160904767169713,0,0.2900548697378284,0,0.8994251154433479,1,1.4141358636820425,1,2.5689017397614657,1
Time,20,1.7608874399283272,1,2.8993567708054564,0,1.715379837738412,0,2.7072233108041184,0,2.22793295058387,0,2.1234015650647344,1
JacksonDatabind,84,0.800659356501164,0,1.0570738239707953,0,1.6348051295421593,0,1.7433485815231025,0,1.7118974485684997,0,1.435044285832661,0
JacksonCore,22,0.5961351098572372,1,0.82695114144732,0,0.5122812154616398,1,1.2554863321078613,1,1.0825710455475217,1,1.4293518195451214,1
JacksonDatabind,90,0.772955333222308,1,1.9569921039049316,0,-0.45338004685043154,0,1.0526175416217867,0,1.0156833393470854,1,0.4787260112243591,1
JacksonDatabind,47,-3.259784652597868,1,-1.6559628622711906,0,-5.722651964230077,0,-3.2046800885923887,0,-2.5654599629817834,1,-2.8127067022776946,1
JacksonDatabind,53,1.8107866211626304,0,1.9968106992825974,0,2.353923375054672,0,3.4479021527618285,0,2.3891851568942344,0,2.0187537707379275,0
JacksonDatabind,52,0.7612413655009842,0,1.3582397003710374,0,0.5831641913336786,0,1.7911807045186041,0,1.2906722810353468,1,0.6242319705055097,1
JacksonDatabind,46,0.5299871692122458,0,0.9679411887856509,0,0.03189726778882482,0,0.9227574065563308,0,0.8105609530680675,0,0.42968462582848227,0
JacksonDatabind,91,1.0197442792580051,0,1.6692143578310734,0,1.2263615212710095,0,2.44192391722431,0,1.5610253482980638,0,0.9590115460303261,0
JacksonCore,23,0.6699676327668611,1,0.45944634613508584,1,1.40067976795833,0,1.5260152301394052,1,1.3914229385557237,1,1.0269996754702453,1
JacksonDatabind,85,1.1691087111662062,1,1.969176093923249,0,0.9169431202562346,1,2.2043581852639162,1,1.5912555524127094,1,1.6031908015808298,1
Gson,9,2.8807327721527622,0,4.140381366685301,1,3.9501448446070486,1,4.673687785279615,1,3.4409400554851093,0,3.7332418651242967,1
Closure,142,-4.656585625703377,0,-6.725485365090063,0,-4.600132619801034,0,-5.953161002235184,0,-5.304130306423745,0,-5.823860829433805,0
Cli,17,2.894213433870407,1,3.245305985414139,1,3.5178474898171426,1,2.727607934903054,1,2.725124769649044,1,3.7244086808090797,1
Closure,11,-5.697026188694199,0,-7.63585496208994,0,-6.342106076588462,1,-7.71124983235569,0,-6.683678372211228,0,-7.491301644924042,1
Closure,156,-6.356261622368392,0,-8.052907402666177,0,-7.243509656013642,0,-8.788697542527455,0,-7.3048961080145585,0,-7.688450518626989,0
Lang,16,3.2770568741290322,1,3.7567202606149372,1,2.982171594174188,1,2.6320942115608372,1,2.239505915453192,1,3.199537389207684,1
Math,76,2.853520895416983,1,3.2467402031461186,1,3.219202247571247,1,3.1451731755677748,1,2.7647152205655794,1,4.2333925091103435,1
Math,62,1.5540221284989697,0,2.2409450835014066,0,2.696631730715092,1,2.969213297635556,1,3.0240083148165295,0,1.9307258393591091,1
Compress,8,1.97135323674701,1,3.0199037252230636,1,2.813778846807899,1,3.0782012536288406,1,2.718123586979893,1,3.078958991157938,1
Closure,39,-4.828070582596995,0,-6.409683786286937,0,-4.209167995642678,0,-6.239671011496679,0,-5.592811991430391,0,-5.415726089659116,0
Math,89,2.6892840346992832,1,3.5757463986550175,1,3.4842121647328406,1,3.8371164223233896,1,3.1295030824824566,1,3.47328108189275,1
Codec,10,2.7786392203402523,1,3.1745622308896855,1,3.0812559759108535,1,3.3285869413614444,1,2.3686850965793504,1,3.1216787860446655,1
Jsoup,12,0.8775836157113,1,1.4374137691783602,1,0.5231432849872087,0,1.5609443132963523,1,1.342249069052064,1,1.1286859018277935,1
Cli,1,2.0878144043308597,1,2.4241393677592997,1,3.010058247219553,0,2.808156863353543,1,2.3956798972145585,1,2.497820559454973,1
Math,8,2.5053649155432756,1,2.8857384137313735,1,2.783898656203595,1,3.046496736354054,1,2.4364748344261593,1,2.8050468469525183,1
JxPath,10,2.4853236963569,0,3.338720620694529,0,3.469874564259328,0,3.4244349424713776,0,2.8236383085836776,0,3.5458941538779247,0
Mockito,13,-4.8801577692626275,0,-6.30229491315431,0,-4.301655235390679,0,-6.372553640214468,0,-4.690064988455584,0,-6.550121857089773,0
JacksonDatabind,102,1.357870545778993,1,1.909924757836835,0,1.490662642354739,1,2.344546005353267,0,1.7575331170020203,1,1.757938647185761,1
Collections,10,1.6042970080368124,0,2.137817719680833,0,1.769430812263036,0,1.8375844080381332,0,1.785715208545866,0,2.106805684166591,0
